iter	Passed	Remaining
0	158	158033
1	161	80483
2	163	54493
3	166	41356
4	170	33856
5	173	28679
6	175	24860
7	178	22081
8	180	19924
9	183	18146
10	185	16696
11	187	15425
12	188	14337
13	190	13411
14	192	12624
15	194	11971
16	196	11388
17	198	10847
18	200	10348
19	201	9887
20	203	9469
21	204	9088
22	206	8758
23	207	8451
24	210	8203
25	212	7967
26	214	7715
27	215	7485
28	217	7282
29	219	7093
30	220	6900
31	222	6731
32	225	6620
33	227	6470
34	229	6319
35	230	6174
36	232	6044
37	233	5918
38	235	5795
39	237	5690
40	240	5623
41	242	5524
42	243	5421
43	244	5322
44	246	5224
45	247	5132
46	248	5044
47	250	4960
48	253	4917
49	255	4845
50	256	4775
51	258	4707
52	259	4639
53	261	4576
54	262	4511
55	264	4455
56	268	4442
57	269	4381
58	271	4326
59	272	4273
60	274	4219
61	275	4166
62	276	4114
63	278	4066
64	279	4018
65	282	3993
66	283	3952
67	285	3908
68	286	3863
69	287	3821
70	288	3778
71	290	3739
72	291	3700
73	292	3666
74	294	3628
75	297	3615
76	298	3582
77	300	3547
78	301	3514
79	302	3480
80	303	3448
81	305	3416
82	305	3380
83	307	3351
84	308	3324
85	311	3308
86	313	3285
87	314	3258
88	315	3231
89	316	3204
90	318	3179
91	319	3155
92	320	3130
93	322	3108
94	324	3088
95	326	3078
96	328	3056
97	329	3033
98	330	3010
99	332	2989
100	333	2969
101	335	2950
102	336	2933
103	338	2914
104	341	2908
105	343	2893
106	344	2875
107	345	2856
108	347	2838
109	348	2822
110	350	2805
111	351	2786
112	352	2768
113	355	2762
114	357	2747
115	358	2732
116	359	2714
117	361	2698
118	362	2682
119	363	2666
120	365	2653
121	366	2639
122	370	2641
123	371	2627
124	373	2614
125	374	2600
126	375	2584
127	377	2569
128	378	2558
129	380	2545
130	381	2532
131	385	2535
132	387	2523
133	388	2511
134	390	2499
135	391	2488
136	393	2476
137	394	2464
138	395	2451
139	397	2439
140	401	2443
141	402	2430
142	403	2418
143	405	2407
144	406	2397
145	408	2388
146	410	2379
147	411	2369
148	417	2382
149	421	2390
150	427	2403
151	431	2408
152	433	2401
153	435	2392
154	437	2383
155	439	2377
156	441	2367
157	442	2358
158	447	2366
159	449	2358
160	450	2346
161	452	2338
162	454	2332
163	458	2337
164	461	2337
165	465	2338
166	468	2336
167	470	2330
168	473	2326
169	475	2320
170	477	2313
171	479	2306
172	480	2296
173	481	2286
174	483	2277
175	484	2268
176	490	2280
177	494	2281
178	495	2273
179	496	2264
180	498	2256
181	500	2248
182	504	2250
183	508	2252
184	509	2243
185	510	2234
186	511	2225
187	515	2228
188	519	2227
189	525	2240
190	528	2237
191	529	2229
192	531	2221
193	536	2227
194	540	2232
195	543	2227
196	544	2220
197	546	2214
198	550	2217
199	554	2218
200	556	2211
201	558	2205
202	565	2222
203	571	2228
204	572	2222
205	574	2215
206	580	2223
207	584	2223
208	585	2216
209	587	2210
210	589	2202
211	592	2202
212	597	2209
213	599	2201
214	601	2195
215	602	2188
216	604	2180
217	609	2187
218	613	2187
219	615	2181
220	617	2175
221	618	2167
222	619	2159
223	625	2167
224	629	2166
225	630	2160
226	632	2154
227	633	2146
228	636	2141
229	639	2141
230	642	2137
231	643	2129
232	644	2121
233	645	2114
234	647	2106
235	648	2098
236	650	2093
237	653	2092
238	654	2084
239	656	2078
240	657	2071
241	659	2064
242	660	2057
243	661	2051
244	663	2045
245	666	2041
246	668	2038
247	670	2031
248	671	2024
249	672	2018
250	673	2011
251	675	2003
252	676	1997
253	677	1990
254	679	1983
255	682	1982
256	683	1977
257	685	1970
258	686	1965
259	688	1958
260	689	1953
261	691	1946
262	692	1940
263	693	1934
264	697	1933
265	698	1927
266	699	1920
267	700	1914
268	702	1908
269	703	1902
270	705	1896
271	706	1890
272	707	1884
273	711	1885
274	712	1879
275	714	1873
276	715	1867
277	717	1862
278	718	1856
279	719	1850
280	721	1845
281	722	1839
282	726	1840
283	727	1835
284	729	1829
285	730	1824
286	732	1819
287	733	1814
288	735	1808
289	736	1803
290	737	1797
291	741	1797
292	742	1791
293	744	1786
294	745	1781
295	746	1776
296	748	1770
297	749	1765
298	750	1760
299	752	1755
300	755	1753
301	757	1750
302	758	1744
303	759	1739
304	761	1734
305	762	1728
306	763	1723
307	765	1718
308	766	1713
309	767	1708
310	769	1704
311	770	1700
312	772	1695
313	773	1690
314	775	1686
315	777	1682
316	778	1677
317	783	1679
318	784	1675
319	786	1670
320	787	1666
321	789	1661
322	790	1656
323	792	1652
324	793	1648
325	794	1643
326	799	1645
327	800	1640
328	802	1636
329	803	1631
330	805	1627
331	806	1622
332	807	1618
333	809	1613
334	813	1614
335	815	1611
336	816	1607
337	818	1602
338	820	1599
339	821	1595
340	823	1591
341	830	1597
342	832	1594
343	833	1590
344	835	1586
345	837	1582
346	839	1579
347	840	1575
348	844	1575
349	846	1571
350	847	1567
351	849	1563
352	850	1559
353	852	1555
354	853	1551
355	855	1547
356	859	1547
357	860	1543
358	862	1540
359	864	1536
360	865	1532
361	867	1529
362	869	1525
363	870	1521
364	874	1521
365	876	1517
366	877	1513
367	879	1509
368	880	1506
369	882	1502
370	884	1498
371	885	1495
372	890	1496
373	892	1493
374	893	1489
375	895	1485
376	897	1482
377	899	1479
378	900	1475
379	905	1476
380	906	1472
381	907	1468
382	909	1465
383	911	1461
384	912	1457
385	914	1454
386	915	1450
387	919	1450
388	921	1447
389	923	1443
390	924	1440
391	926	1437
392	928	1434
393	930	1430
394	935	1432
395	941	1436
396	943	1433
397	945	1430
398	951	1433
399	957	1435
400	960	1434
401	966	1437
402	971	1439
403	974	1437
404	977	1435
405	1069	1564
406	1071	1561
407	1102	1600
408	1105	1597
409	1107	1594
410	1124	1611
411	1142	1629
412	1151	1636
413	1153	1632
414	1155	1628
415	1156	1624
416	1166	1631
417	1168	1627
418	1217	1687
419	1268	1751
420	1270	1747
421	1285	1761
422	1297	1770
423	1303	1770
424	1314	1778
425	1325	1785
426	1328	1782
427	1330	1778
428	1341	1785
429	1343	1780
430	1345	1776
431	1347	1771
432	1353	1772
433	1358	1771
434	1360	1767
435	1368	1770
436	1374	1771
437	1385	1777
438	1388	1774
439	1391	1771
440	1395	1769
441	1403	1772
442	1406	1768
443	1411	1766
444	1494	1863
445	1502	1866
446	1505	1862
447	1509	1859
448	1522	1868
449	1526	1866
450	1535	1869
451	1537	1864
452	1540	1860
453	1551	1865
454	1552	1860
455	1555	1855
456	1557	1850
457	1567	1855
458	1569	1850
459	1571	1844
460	1584	1852
461	1588	1849
462	1590	1844
463	1601	1850
464	1605	1846
465	1613	1848
466	1616	1844
467	1619	1841
468	1622	1836
